Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Wheat,2003,Rabi,State2,268.84,5616.62,1857.31,52.5,17.26,39.5
Maize,2020,Whole Year,State18,77.07,2350.66,1077.48,50.05,34.84,24.76
Rice,2000,Kharif,State4,167.99,6866.31,1999.49,187.69,10.0,18.69
Rice,2009,Zaid,State17,409.69,6455.75,1261.08,256.36,19.79,25.2
Sorghum,2009,Kharif,State17,217.17,566.15,1898.42,326.31,11.97,7.55
Maize,2013,Rabi,State16,152.29,864.84,1456.9,340.72,8.21,38.58
Sorghum,2001,Whole Year,State19,302.63,4060.92,1498.8,388.78,17.45,2.43
Sorghum,2016,Whole Year,State4,192.89,2240.63,421.24,396.73,21.13,41.34
Maize,2001,Kharif,State3,366.7,6533.51,860.07,376.45,45.72,43.35
Maize,2009,Kharif,State19,280.2,9669.06,1286.46,463.77,11.9,31.64
Maize,2020,Zaid,State15,431.88,735.27,1225.63,165.16,25.79,43.75
Rice,2011,Rabi,State5,381.24,8193.94,1075.83,258.97,25.46,16.38
Barley,2014,Zaid,State17,393.84,6226.83,1557.02,441.09,22.08,40.02
Rice,2018,Rabi,State11,390.72,1506.01,1081.81,435.33,18.82,27.58
Sorghum,2004,Zaid,State1,184.41,5882.17,749.28,363.18,24.64,4.82
Barley,2012,Rabi,State4,81.46,6809.11,718.98,298.55,41.21,25.51
Wheat,2020,Kharif,State5,258.72,519.54,1470.86,424.18,26.94,7.64
Rice,2016,Whole Year,State6,143.45,147.51,1968.28,425.39,20.46,14.32
Maize,2020,Kharif,State20,156.87,4727.07,1555.05,442.11,25.43,36.87
Barley,2011,Whole Year,State7,497.57,4725.51,381.75,388.72,24.51,49.95
Wheat,2006,Zaid,State5,58.19,3064.55,1342.81,400.24,17.99,38.59
Barley,2017,Whole Year,State1,289.68,7153.72,977.96,124.25,47.38,35.44
Sorghum,2006,Whole Year,State11,267.34,3734.66,1681.98,437.29,21.98,28.8
Wheat,2003,Kharif,State16,247.79,745.69,616.3,69.32,45.8,34.3
Barley,2012,Whole Year,State1,235.52,5008.95,682.61,432.82,16.46,38.22
Barley,2018,Rabi,State16,186.73,2867.84,1951.16,283.59,29.71,16.86
Sorghum,2011,Rabi,State8,49.58,6108.73,786.01,170.16,20.67,31.53
Barley,2019,Rabi,State20,298.99,3829.47,526.95,224.39,19.87,39.65
Rice,2009,Zaid,State17,207.05,4818.59,1282.28,467.04,22.51,40.11
Barley,2017,Whole Year,State5,248.92,8237.6,1776.39,336.27,38.21,44.63
Maize,2016,Whole Year,State5,103.1,8364.95,1891.2,367.24,36.09,6.86
Wheat,2008,Rabi,State5,216.98,157.66,1557.3,331.95,47.01,18.25
Wheat,2015,Rabi,State4,474.1,5670.64,908.2,451.41,28.92,48.57
Wheat,2010,Zaid,State19,381.85,7331.36,1292.62,213.65,15.42,22.07
Barley,2014,Rabi,State5,82.96,6026.39,842.78,456.67,12.76,28.96
Sorghum,2011,Whole Year,State1,472.7,1124.99,1019.16,466.22,42.29,26.27
Sorghum,2004,Zaid,State7,223.34,4777.73,1671.95,325.76,12.19,46.4
Rice,2008,Whole Year,State20,45.17,6908.57,1925.25,196.34,10.56,33.19
Maize,2015,Rabi,State6,167.0,5505.42,462.92,261.85,8.59,11.49
Maize,2008,Whole Year,State1,356.53,3418.2,1176.18,376.3,17.32,2.58
Rice,2014,Whole Year,State17,130.39,6139.36,1036.31,52.3,30.24,3.63
Rice,2015,Whole Year,State5,389.47,3683.27,958.35,205.59,30.8,34.16
Sorghum,2008,Rabi,State14,243.91,4451.56,1233.27,206.38,16.44,49.54
Rice,2011,Zaid,State14,454.69,1404.17,516.62,272.5,36.55,41.31
Sorghum,2009,Whole Year,State1,308.29,2586.18,317.13,215.06,45.55,34.72
Sorghum,2009,Zaid,State15,147.41,7298.72,309.08,56.33,15.66,48.96
Wheat,2010,Zaid,State9,76.17,7074.67,1229.83,116.93,24.5,20.51
Barley,2001,Zaid,State18,177.1,8281.43,1612.47,306.54,11.69,27.67
Sorghum,2014,Whole Year,State4,60.13,7312.74,1768.9,411.07,40.71,49.43
Sorghum,2018,Zaid,State14,375.47,4600.51,784.05,449.16,31.04,35.23
Sorghum,2016,Zaid,State7,468.02,3509.0,1427.93,440.5,41.83,10.45
Barley,2016,Kharif,State19,14.33,7532.69,1219.93,122.91,21.22,18.52
Wheat,2014,Rabi,State19,125.5,688.1,845.88,64.4,20.41,32.32
Barley,2003,Whole Year,State17,485.42,684.9,1759.49,217.22,40.18,22.65
Wheat,2013,Whole Year,State8,330.2,9244.31,979.51,237.41,27.47,6.53
Rice,2011,Zaid,State4,308.61,8552.78,575.74,404.59,32.59,24.03
Barley,2009,Kharif,State14,439.16,2736.64,1640.09,286.92,38.75,27.03
Wheat,2008,Zaid,State18,119.94,7233.49,845.23,409.06,34.81,12.51
Barley,2009,Whole Year,State16,499.2,4279.06,1623.31,437.45,20.03,28.21
Sorghum,2001,Zaid,State5,97.36,6021.84,929.0,251.61,42.6,11.2
Maize,2008,Rabi,State3,378.95,9126.36,1169.93,127.03,25.57,41.11
Barley,2020,Whole Year,State20,59.97,8724.06,475.0,374.02,18.81,14.34
Rice,2007,Rabi,State19,204.4,5248.68,1377.54,464.64,20.8,37.54
Maize,2016,Zaid,State13,48.45,3806.16,1571.05,392.85,40.76,15.85
Rice,2018,Kharif,State2,220.32,1313.02,465.18,368.21,40.85,32.31
Sorghum,2015,Zaid,State17,474.4,761.29,1963.85,92.02,13.45,42.66
Rice,2005,Rabi,State16,133.82,2375.88,764.18,166.8,12.08,10.31
Sorghum,2009,Zaid,State2,369.26,7810.87,1390.66,284.32,48.39,5.97
Wheat,2003,Zaid,State8,309.49,130.98,1299.21,96.37,41.66,43.21
Rice,2014,Zaid,State20,58.55,1056.33,852.6,293.19,22.29,34.63
Barley,2003,Rabi,State6,454.29,7251.15,1825.27,251.7,15.57,6.24
Barley,2006,Kharif,State4,251.73,3491.64,1804.89,263.98,38.82,10.95
Barley,2008,Rabi,State9,432.35,5619.12,1529.36,307.59,16.04,9.98
Wheat,2013,Rabi,State17,247.08,1438.62,1330.5,308.35,14.45,12.21
Maize,2011,Kharif,State12,271.23,5711.52,1328.77,78.19,40.15,21.82
Rice,2011,Rabi,State17,49.86,7473.48,1284.49,328.24,8.45,46.33
Sorghum,2015,Rabi,State12,136.99,7970.57,431.37,76.31,26.24,29.23
Sorghum,2000,Kharif,State3,310.47,6352.69,626.49,164.97,14.94,4.97
Wheat,2006,Rabi,State2,278.79,5970.02,914.2,135.69,22.85,28.66
Barley,2011,Kharif,State5,331.26,9843.35,1389.69,187.32,49.4,35.86
Maize,2005,Whole Year,State20,154.8,3100.47,1131.77,74.55,27.1,30.11
Rice,2013,Zaid,State16,170.54,5897.49,805.35,144.15,39.11,49.1
Rice,2020,Kharif,State1,447.6,1687.84,1251.69,415.27,7.09,33.27
Sorghum,2000,Zaid,State14,353.7,7113.64,354.72,249.12,46.24,21.63
Wheat,2017,Rabi,State2,150.54,5979.13,305.16,432.36,46.49,11.53
Maize,2011,Rabi,State18,133.48,960.77,1974.31,235.88,6.32,12.4
Sorghum,2005,Whole Year,State13,179.79,9341.67,1234.66,184.45,18.96,26.52
Wheat,2006,Rabi,State17,131.31,9268.29,1689.26,138.2,11.14,37.14
Barley,2009,Rabi,State19,440.27,3248.7,1303.99,439.06,12.19,17.0
Barley,2009,Whole Year,State19,31.07,563.19,1203.81,120.09,22.28,7.18
Rice,2004,Kharif,State5,309.91,5972.65,1373.96,468.04,26.9,41.12
Maize,2016,Zaid,State7,393.85,621.95,914.69,107.6,13.0,8.24
Maize,2016,Zaid,State2,247.38,7141.34,1184.24,101.31,27.81,29.15
Sorghum,2015,Zaid,State13,10.78,7924.73,1066.9,102.21,16.01,47.97
Maize,2004,Kharif,State3,239.94,9663.89,1239.38,449.5,32.86,9.88
Rice,2014,Whole Year,State6,312.37,7241.37,1564.05,235.94,6.99,37.65
Barley,2020,Rabi,State17,87.83,9444.87,1410.97,210.61,21.48,33.39
Sorghum,2020,Whole Year,State19,426.1,8181.26,1859.2,82.16,24.06,42.36
Maize,2017,Zaid,State14,162.84,7802.08,1613.78,239.1,9.55,26.21
Barley,2002,Kharif,State10,338.13,4931.93,345.05,330.4,15.49,33.79
Barley,2015,Zaid,State8,140.8,4835.8,1013.23,84.1,31.96,39.75
Wheat,2002,Zaid,State3,92.49,134.95,1769.53,282.05,49.57,29.64
Wheat,2018,Rabi,State19,371.43,1648.93,744.24,328.58,35.6,3.64
Rice,2008,Kharif,State20,398.13,5260.08,1372.81,467.78,19.5,31.18
Barley,2011,Rabi,State14,488.28,5250.75,1802.35,420.57,11.29,46.01
Maize,2016,Whole Year,State1,158.47,4981.73,1833.55,225.71,23.07,38.07
Maize,2013,Whole Year,State17,123.5,8341.34,662.09,336.29,40.28,16.48
